,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 1909, Cook County, Illinois",192,78,0,22,22,34,114,10,81,23,0
"Census Tract 1910, Cook County, Illinois",99,53,0,23,18,12,46,0,18,13,15
"Census Tract 1911, Cook County, Illinois",307,139,6,79,36,18,168,48,19,81,20
"Census Tract 1912, Cook County, Illinois",246,73,7,38,11,17,173,52,52,9,60
"Census Tract 1913.01, Cook County, Illinois",87,35,0,9,23,3,52,18,12,13,9
"Census Tract 1913.02, Cook County, Illinois",172,96,9,23,56,8,76,0,55,21,0
"Census Tract 2001, Cook County, Illinois",716,254,15,116,99,24,462,45,115,156,146
"Census Tract 2002, Cook County, Illinois",345,175,0,63,41,71,170,47,37,56,30
"Census Tract 2003, Cook County, Illinois",140,52,6,10,29,7,88,34,25,18,11
"Census Tract 2004.01, Cook County, Illinois",128,62,0,24,14,24,66,23,18,25,0
"Census Tract 2004.02, Cook County, Illinois",124,18,0,7,0,11,106,16,0,29,61
"Census Tract 2101, Cook County, Illinois","1,422",707,16,151,234,306,715,73,169,86,387
"Census Tract 2104, Cook County, Illinois",633,300,42,102,44,112,333,57,87,112,77
"Census Tract 2105.01, Cook County, Illinois","1,034",440,120,140,28,152,594,42,285,103,164
"Census Tract 2105.02, Cook County, Illinois","1,229",585,88,265,130,102,644,180,148,135,181
"Census Tract 2106.01, Cook County, Illinois",484,242,0,46,88,108,242,40,70,68,64
"Census Tract 2106.02, Cook County, Illinois",993,538,40,190,48,260,455,39,16,78,322
"Census Tract 2107, Cook County, Illinois","1,324",738,0,125,244,369,586,22,92,69,403
"Census Tract 2108, Cook County, Illinois",317,169,0,28,29,112,148,16,23,31,78
"Census Tract 2109, Cook County, Illinois",759,395,58,57,66,214,364,25,63,62,214
"Census Tract 2203, Cook County, Illinois","1,144",618,27,42,77,472,526,5,62,98,361
"Census Tract 2204, Cook County, Illinois","1,231",627,9,78,182,358,604,0,45,93,466
