,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 8310, Cook County, Illinois","1,507",720,0,20,69,631,787,4,47,74,662
"Census Tract 8311, Cook County, Illinois","1,885",836,101,217,217,301,"1,049",215,179,194,461
"Census Tract 8312, Cook County, Illinois",185,49,7,29,13,0,136,35,54,15,32
"Census Tract 8313, Cook County, Illinois",3,3,0,3,0,0,0,0,0,0,0
"Census Tract 8314, Cook County, Illinois",295,154,22,72,29,31,141,21,31,47,42
"Census Tract 8315, Cook County, Illinois",921,454,37,246,118,53,467,64,143,211,49
"Census Tract 8316, Cook County, Illinois","1,397",727,91,183,300,153,670,205,227,148,90
"Census Tract 8317, Cook County, Illinois",535,263,12,96,82,73,272,8,38,91,135
"Census Tract 8318, Cook County, Illinois","1,718",880,25,52,190,613,838,69,131,109,529
"Census Tract 8319, Cook County, Illinois","1,802",985,0,0,80,905,817,6,26,27,758
"Census Tract 8320, Cook County, Illinois","1,266",692,10,67,57,558,574,6,4,59,505
"Census Tract 8321, Cook County, Illinois","1,498",866,16,20,163,667,632,11,8,88,525
"Census Tract 8322, Cook County, Illinois","1,879",817,32,4,116,665,"1,062",17,48,75,922
"Census Tract 8323, Cook County, Illinois","1,126",578,4,6,93,475,548,0,8,87,453
"Census Tract 8324, Cook County, Illinois","1,220",749,0,53,139,557,471,7,42,15,407
"Census Tract 8325, Cook County, Illinois","1,883","1,031",39,50,134,808,852,73,79,58,642
"Census Tract 8326, Cook County, Illinois","2,687","1,256",24,9,85,"1,138","1,431",1,19,89,"1,322"
"Census Tract 8329, Cook County, Illinois",896,505,1,40,80,384,391,0,33,49,309
"Census Tract 8330, Cook County, Illinois","1,873","1,078",13,23,130,912,795,0,28,24,743
"Census Tract 8331, Cook County, Illinois","4,010","1,982",4,29,193,"1,756","2,028",14,41,229,"1,744"
"Census Tract 8333, Cook County, Illinois",603,325,33,39,25,228,278,8,52,60,158
"Census Tract 8339, Cook County, Illinois",15,7,5,0,0,2,8,0,4,4,0
"Census Tract 8340, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 8342, Cook County, Illinois",14,14,14,0,0,0,0,0,0,0,0
"Census Tract 8343, Cook County, Illinois",46,44,0,0,0,44,2,0,0,0,2
"Census Tract 8344, Cook County, Illinois",117,51,0,1,0,50,66,3,0,0,63
"Census Tract 8345, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 8346, Cook County, Illinois",51,35,27,8,0,0,16,0,8,8,0
"Census Tract 8347, Cook County, Illinois",5,1,0,0,0,1,4,0,4,0,0
"Census Tract 8348, Cook County, Illinois",3,1,0,0,0,1,2,1,0,1,0
"Census Tract 8349, Cook County, Illinois",5,0,0,0,0,0,5,0,3,2,0
"Census Tract 8350, Cook County, Illinois",107,24,0,0,6,18,83,9,7,50,17
"Census Tract 8351, Cook County, Illinois",143,73,10,36,4,23,70,51,18,0,1
"Census Tract 8352, Cook County, Illinois",589,314,60,131,80,43,275,33,150,70,22
"Census Tract 8355, Cook County, Illinois",30,12,1,0,0,11,18,1,0,17,0
"Census Tract 8356, Cook County, Illinois",17,0,0,0,0,0,17,0,0,17,0
"Census Tract 8357, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 8358, Cook County, Illinois",19,5,0,0,0,5,14,0,0,0,14
"Census Tract 8359, Cook County, Illinois",16,2,0,2,0,0,14,0,0,8,6
"Census Tract 8360, Cook County, Illinois",27,11,0,0,6,5,16,0,0,0,16
"Census Tract 8361, Cook County, Illinois",11,5,0,5,0,0,6,0,0,0,6
"Census Tract 8362, Cook County, Illinois",109,65,11,1,6,47,44,0,0,4,40
"Census Tract 8363, Cook County, Illinois",273,109,0,11,0,98,164,0,0,11,153
"Census Tract 8364, Cook County, Illinois",93,60,0,0,0,60,33,0,0,0,33
"Census Tract 8365, Cook County, Illinois",24,0,0,0,0,0,24,0,0,0,24
"Census Tract 8366, Cook County, Illinois",328,136,2,2,46,86,192,4,12,29,147
"Census Tract 8367, Cook County, Illinois",58,35,0,32,0,3,23,0,12,7,4
"Census Tract 8368, Cook County, Illinois",22,17,0,0,0,17,5,0,0,5,0
"Census Tract 8369, Cook County, Illinois",24,24,0,0,16,8,0,0,0,0,0
"Census Tract 8370, Cook County, Illinois",55,25,0,0,5,20,30,0,5,0,25
"Census Tract 8371, Cook County, Illinois",217,130,0,0,33,97,87,4,13,29,41
"Census Tract 8373, Cook County, Illinois",74,46,0,21,10,15,28,0,0,7,21
"Census Tract 8374, Cook County, Illinois",172,91,33,5,10,43,81,12,57,0,12
"Census Tract 8378, Cook County, Illinois",332,194,0,15,33,146,138,8,9,19,102
"Census Tract 8380, Cook County, Illinois",417,251,0,0,38,213,166,0,34,12,120
"Census Tract 8381, Cook County, Illinois",378,203,0,17,22,164,175,17,16,26,116
"Census Tract 8382, Cook County, Illinois",358,219,22,0,22,175,139,0,7,24,108
"Census Tract 8383, Cook County, Illinois",389,213,0,24,21,168,176,0,7,10,159
"Census Tract 8386, Cook County, Illinois",10,7,2,2,0,3,3,0,0,3,0
"Census Tract 8387, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 8388, Cook County, Illinois",147,84,0,67,17,0,63,11,16,36,0
"Census Tract 8390, Cook County, Illinois","3,706","1,771",0,81,422,"1,268","1,935",15,53,166,"1,701"
"Census Tract 8391, Cook County, Illinois","2,087","1,326",15,63,166,"1,082",761,0,4,48,709
"Census Tract 8392, Cook County, Illinois",186,107,6,1,59,41,79,0,20,0,59
"Census Tract 8395, Cook County, Illinois",123,75,0,0,18,57,48,7,0,6,35
"Census Tract 8396, Cook County, Illinois",195,60,7,15,5,33,135,38,19,31,47
"Census Tract 8397, Cook County, Illinois",830,399,19,153,117,110,431,43,167,50,171
"Census Tract 8398, Cook County, Illinois",903,419,17,122,126,154,484,6,145,162,171
"Census Tract 8399, Cook County, Illinois","1,802",935,83,319,309,224,867,125,206,271,265
"Census Tract 8400, Cook County, Illinois","1,107",512,79,124,152,157,595,115,183,165,132
"Census Tract 8401, Cook County, Illinois",405,154,8,69,39,38,251,61,100,56,34
"Census Tract 8402, Cook County, Illinois",355,163,55,27,36,45,192,55,71,37,29
"Census Tract 8403, Cook County, Illinois",399,205,54,66,52,33,194,35,50,43,66
"Census Tract 8404, Cook County, Illinois",768,416,74,145,93,104,352,33,168,71,80
"Census Tract 8407, Cook County, Illinois",211,106,14,0,50,42,105,9,22,0,74
"Census Tract 8408, Cook County, Illinois",34,15,0,15,0,0,19,10,0,0,9
"Census Tract 8410, Cook County, Illinois",105,54,0,0,15,39,51,3,0,7,41
"Census Tract 8411, Cook County, Illinois",202,129,0,51,65,13,73,0,0,0,73
"Census Tract 8412, Cook County, Illinois",421,279,54,79,30,116,142,21,99,0,22
"Census Tract 8413, Cook County, Illinois",286,124,33,44,25,22,162,11,49,62,40
"Census Tract 8414, Cook County, Illinois",55,7,0,3,0,4,48,0,26,11,11
"Census Tract 8415, Cook County, Illinois",16,0,0,0,0,0,16,0,4,12,0
"Census Tract 8416, Cook County, Illinois",4,2,0,2,0,0,2,0,2,0,0
"Census Tract 8417, Cook County, Illinois",33,11,0,0,5,6,22,0,0,10,12
"Census Tract 8418, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 8419, Cook County, Illinois","1,458",782,16,22,53,691,676,12,7,76,581
"Census Tract 8420, Cook County, Illinois",234,100,32,4,26,38,134,21,47,13,53
"Census Tract 8421, Cook County, Illinois",41,15,0,15,0,0,26,0,20,0,6
"Census Tract 8422, Cook County, Illinois","1,145",650,0,0,82,568,495,10,36,53,396
"Census Tract 8423, Cook County, Illinois","2,123","1,132",0,66,150,916,991,0,37,88,866
"Census Tract 8424, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 8425, Cook County, Illinois",2,0,0,0,0,0,2,0,0,0,2
"Census Tract 8426, Cook County, Illinois","1,818",838,144,389,197,108,980,233,321,344,82
"Census Tract 8428, Cook County, Illinois",394,185,31,81,54,19,209,40,90,43,36
"Census Tract 8429, Cook County, Illinois",122,71,0,26,34,11,51,0,0,0,51
"Census Tract 8430, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 8431, Cook County, Illinois",107,16,0,0,5,11,91,15,10,5,61
"Census Tract 8432, Cook County, Illinois",195,91,10,14,29,38,104,0,24,25,55
"Census Tract 8433, Cook County, Illinois",67,25,0,12,10,3,42,2,12,28,0
"Census Tract 8434, Cook County, Illinois",6,0,0,0,0,0,6,0,6,0,0
"Census Tract 8435, Cook County, Illinois",753,629,300,190,122,17,124,61,24,29,10
"Census Tract 8436, Cook County, Illinois",53,27,0,11,0,16,26,0,8,0,18
"Census Tract 8437, Cook County, Illinois","1,223",573,14,97,101,361,650,17,60,138,435
"Census Tract 8438, Cook County, Illinois",196,84,36,29,19,0,112,39,24,42,7
"Census Tract 8439, Cook County, Illinois",46,33,0,9,3,21,13,0,0,0,13
"Census Tract 9800, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9801, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9900, Cook County, Illinois",0,0,0,0,0,0,0,0,0,0,0
